x,y
-122.42509197623053,37.79507143064099
-122.35360121163772,37.7598658484197
-122.46879627191151,37.71559945203362
-122.48838327756636,37.786617614577494
-122.37977699765136,37.7708072577796
-122.49588310114083,37.7969909852162
-122.33351147183991,37.72123391106783
-122.46363500655858,37.718340450985345
-122.43915155140809,37.75247564316322
-122.41361099627157,37.729122914019804
-122.37762942105552,37.71394938606521
-122.44157107029295,37.73663618432937
-122.40878600315659,37.7785175961393
-122.46006524356832,37.75142344384136
-122.38151708622759,37.704645041272
-122.37849102961971,37.71705241236873
-122.48698968140295,37.79488855372533
-122.30687359338509,37.78083973481164
-122.43907724616533,37.70976721140064
-122.36315339469756,37.74401524937396
-122.47559235303105,37.74951769101113
-122.49312229577696,37.79093204020788
-122.44824400368,37.7662522284354
-122.43765778478212,37.75200680211778
-122.39065794413135,37.71848544555255
-122.30608307444709,37.77751328233611
-122.31210021168717,37.78948273504276
-122.38042000423778,37.79218742350231
-122.48230149958961,37.71959828624192
-122.49095454221789,37.73253303307633
-122.42226454206211,37.727134903177394
-122.33425249816962,37.73567533266936
-122.44381309806252,37.75426960831582
-122.47181515500505,37.7802196980754
-122.48508987126405,37.79868869366005
-122.34555104614067,37.71987156815342
-122.49889557657528,37.78154614284548
-122.35862853123048,37.772900716804095
-122.34574593066282,37.70740446517341
-122.42830685429115,37.711586905952515
-122.32737931482488,37.76232981268276
-122.43382039502947,37.7063558350286
-122.43780353565687,37.73251833220267
-122.35407876433239,37.76375574713552
-122.32255745148473,37.747221492516196
-122.47608115081233,37.7713244787223
-122.34784299027662,37.75612771975695
-122.34580656400908,37.74937955963644
-122.3954534341236,37.74275410183586
-122.49491617465118,37.71078914269933
